text,label,f3_digits_ratio,f24_punct_div,f45_adj_count,f66_genitive_count,f87_gini
كتشف العلماء حديثًا أن هناك نوعًا من الخلايا هي بمثابة الكل، أطلقوا عليها وصف سيدة الخلايا، لها قابلية التحول إلى أي نوع من خلايا الجسم وفق معاملات بيئية محددة في المختبر، هذه الخلايا هي الخلايا الجذعية (Cellules souches)، ويطلق عليها أيضا اسم الخلايا الأصلية أو الخلايا الجذرية، ويستفاد من هذه الخلايا في زراعة الأعضاء، ويمكن أن تكون بديلا عن الزراعة التقليدية، وتمثل الأجنة المصدر الأول لهذه الخلايا، مما يطرح الكثير من الإشكالات حول زراعة الخلايا الجذعية، وهو ما يستدعي بيان حكمها الشرعي، وقبل ذلك بيان حقيقتها ومصادرها ووظائفها، وهو ما سأبينه في المطالب الآتية:المطلب الأول: حقيقة الخلايا الجذعية.المطلب الثاني: حكم زراعة الخلايا الجذعية..,0,0.0,0.007776049766718507,2.0,9.0,0.20279126213592247
يستكشف الملخص تمثيلات المنفى في رواية (الفراشات والغيلان) لعز الدين جلاوجي، مع التركيز على كيفية نقل السرد من تجربة شخصية إلى تمثيل ثقافي. من خلال تحليل الشكل والمحتوى، يدرس الملخص العناصر التي ساهمت في بناء الرواية، باستخدام منهج فني يجمع بين المقاربات الدلالية والسردية والثقافية.,1,0.0,0.014184397163120567,1.0,7.0,0.06190476190476191
يعد الحق في الإعلام من أهم حقوق التي أقرتها المواثيق الدولية والإقليمية، والضمانات الدستورية والقانونية، ولكن هل يمكن القول: أن كل هذه المواثيق والضمانات كافية لحماية هذا الحق من حيث الممارسة؟. الجدير بالإجابة هنا هو أن التطور الرهيب الذي عرفه الإعلام سوف يجعل من هذه الوثائق والضمانات غير كافية لممارسة هذا الحق، مما يستدعي دراسات أو قراءات أخرى أكثر عمقا وتطورا، خاصة في ظل الثورة الرقمية الجديدة والانتشار الواسع للمواقع الاجتماعية، وهذا بدليل أنه خلال سنة 2011 أصبح في العالم نحو 1.5 مليار مستخدم لشبكة الانترنيت يرسلون يوميا نحو 02 مليار رسالة بريد إلكتروني، وأن 90 % منهم أي حوالي 940 مليون يتواجدون بشكل مستمر في المواقع الاجتماعية، وأن 72 % منهم يتواجدون في أكثر من موقع اجتماعي. ويشترك نحو 610 مليون في الفايس بوك في مختلف جهات العالم، ومنهم 140 مليون في الولايات المتحدة الأمريكية، 34 مليون في اندونيسيا، و28 مليون في بريطانيا، و20 مليون في فرنسا، و05 مليون في مصر، و03 مليون في السعودية، و03 مليون في المغرب، و02 مليون في تونس، و1.5 مليون في الجزائر. ألا نستطيع أن نقول: من خلال هذه الإحصائيات أن الإعلام البديل قد تغلب على الإعلام الرسمي من خلال الفايس بوك والمواقع الاجتماعية والانترنيت...، ممّا يحتّم علينا ضرورة مواكبة هذا التطوّر بسن قوانين تتماشى والإعلام البديل وتنظم العمل الإعلامي وتحميه، وعليه ستكون هذه المداخلة موضحة في النقاط التالية:I-الإطار المفاهيمي: II-الحق في الإعلام في المواثيق الدولية والإقليمية.1 -في المواثيق الدولية.2 -في المواثيق الإقليمية.خلاصة عامة.,0,0.028118240807498196,0.002883922134102379,5.0,28.0,0.2796739130434782
تسليح جيش التحرير الوطني عبر الحدود الغربية خلال الثورة الجزائرية (1954-1962) هو موضوع يركز على استراتيجية التسلح التي اتبعها جيش التحرير الوطني الجزائري خلال الثورة الجزائرية. يُظهر هذا الموضوع أهمية الجبهة البرية في التحرير الوطني وآثارها على النضال ضد الاستعمار. يُبرز البحث دور الحدود الغربية في تزويد الجيش بالسلاح والذخائر، مما ساهم في تعزيز قدرات الجيش في مواجهة القوات الاستعمارية. يُظهر البحث أيضاً كيفية استخدام الجيش للحدود الغربية كمنطقة استراتيجية لتلقي المساعدات العسكرية واللوجستية، مما ساهم في تحقيق الأهداف التحريرية. يُعد هذا الموضوع جزءاً مهماً من تاريخ الثورة الجزائرية، ويعكس الجانب العسكري للنضال من أجل الاستقلال. يُبرز البحث أيضاً الأهمية الاستراتيجية للحدود الغربية في النضال التحريري، ويعكس دور الجيش في تحقيق الأهداف التحريرية. يُظهر البحث كيفية استخدام الجيش للحدود الغربية كمنطقة استراتيجية لتلقي المساعدات العسكرية واللوجستية، مما ساهم في تحقيق الأهداف التحريرية. يُعد هذا الموضوع جزءاً مهماً من تاريخ الثورة الجزائرية، ويعكس الجانب العسكري للنضال من أجل الاستقلال.,1,0.008040201005025126,0.004020100502512563,8.0,14.0,0.28970751573491293
تستكشف هذه الورقة البحثية تعقيدات الشيكات المرتدة، مع التركيز على أسبابها، وتأثيراتها على المؤسسات المالية، والتداعيات القانونية المحتملة. يتم استخدام نهج دراسة الحالة، مع تحليل البيانات من مختلف البنوك. النتائج الرئيسية تشمل زيادة الشيكات المرتدة بسبب الاحتيال، والأخطاء الإدارية، وعدم كفاية الأموال، مما يؤدي إلى خسائر مالية وعقوبات قانونية.,1,0.0,0.0058309037900874635,0.0,6.0,0.057231588287488755
"كثيرا ما تتردد مقولة أفلاطون على ألسنة المهتمين بالقراءة :″شعب يقرأ شعب لا يجوع ولا يستعبد″, لذا ارتأيت في هذه المداخلة أن أتحدث عن دور المكتبات في توعية الشعوب ,ومساهمتها في نشر الوعي من خلال توفير الكتاب و التشجيع على القراءة ونشر الثقافة والوعي الفكري. إن للمكتبة دور بارز في تطوير وتكوين فكر المجتمع وثقافته، حيث تعمل على نشر الوعي المعلوماتي والثقافي، وذلك من خلال توفير الوسائل التي تعين الطالب العلم على كسب المعرفة و الإلمام بالثقافة العامة، فهي تحتوي على مجموعة من المصادر والكتب والمخطوطات والصحف والمجلات، لتشجيع المواطنين على القراءة والاطلاع، وتقدم لزوارها العديد من الأنشطة الثقافية,وغيرها من النشاطات..",0,0.0,0.006482982171799027,7.0,16.0,0.1732673267326732
تسعى هذه الدراسة لاستكشاف العمق الفونيمي في الخطاب النبوي الشريف من خلال تحليل نماذج مختارة من صحيح البخاري، مستخدمة المنهجيات الصوتية الأسلوبية للكشف عن آليات التأثير الجمالي والإيحائي. تتناول الدراسة كيفية تشكيل الفونيمات شبكة صوتية تتفاعل مع السياقات الدلالية للنصوص، بما يعزز قدرتها على التأثير في تصور المتلقي وإضفاء أبعاد إيحائية تتجاوز المعنى الظاهر. تركز الدراسة بشكل خاص على النصوص التي تصف مشاهد من عالم الغيب، حيث تلعب البنية الفونيمية دوراً حاسماً في تعزيز الصورة الذهنية واستجلاء معانيها. من خلال هذا التحليل، تسعى الدراسة إلى إبراز العنصر الصوتي كأداة قوية في نقل الرسائل المعنوية والروحية، وتوجيه الانتباه نحو ثراء الخطاب النبوي في تراكيبه الفونيمية وتأثيره البلاغي العميق.,1,0.0,0.0029069767441860465,10.0,14.0,0.14652128764278305
المسرح الموجه للأطفال هو أداة فعالة في تعزيز القدرات الفكرية للأطفال، كما لاحظ مارك توين. إنه وسيلة تعليمية جذابة، تعزز التربية الجمالية والأخلاقية والعقلية، وتعزز الإبداع. كما يساهم المسرح في تشكيل مواقف الطفل وقيمه وشخصيته. تستكشف هذه الدراسة العلاقة بين مسرحة الحكايات الشعبية وتطور خيال الطفل وقدراته الفكرية.,1,0.0,0.006389776357827476,0.0,2.0,0.07575757575757569
تهدف الدراسة إلى معرفة مدى مساهمة أسلوب من أساليب التدريس الحديثة غير المباشرة والمتمثلة في أسلوب الاكتشاف الموجه في التربية البدنية والرياضية في اكتساب الحساسية الانفعالية والاجتماعية لدى تلاميذ المرحلة المتوسطة من خلال حصة التربية البدنية والرياضية ، من وجهة نظر أساتذة التعليم المتوسط ، دراسة ميدانية بمتوسطات بلدية حمام الضلعة ولاية المسيلة ،وقد اعتمد الباحث على استمارة استبيان لجمع المعلومات اقتبست عباراته من اختبار المهارات الاجتماعية لرونالد ريجيو الذي يتألف من 06 أبعاد مقسمة إلى جزأين جزء خاص بالمستوى الانفعالي والآخر خاص بالمستوى الاجتماعي وتم اعتماد بعد انفعالي والذي يتمثل في الحساسية الانفعالية وبعد اجتماعي والذي يتمثل في الحساسية الاجتماعية ،ونظرا لطبيعة الموضوع اعتمد الباحث المنهج الوصفي التحليلي الذي يتلاءم وطبيعة الموضوع ،وقد طبقت الدراسة على عينة قوامها 13 أستاذ ،وكانت النتائج المتوصل إليها إلى أن استخدام أسلوب الاكتشاف الموجه في درس التربية البدنية والرياضية يساهم إلى حد بعيد في اكتساب التلميذ لمهارتي الحساسية الانفعالية والحساسية الاجتماعية لدى تلاميذ المرحلة المتوسط.,0,0.004008016032064128,0.002004008016032064,8.0,18.0,0.24640019860973172
"تهدف هذه الدراسة إلى تسليط الضوء على دور الإعلام في تعزيز التوعية المرورية والعلاقة بين الأمن المعلوماتي والجهود المتكاملة للحد من حوادث المرور. تركز الدراسة على استراتيجيات وكالات الأمن في التعامل مع الإعلام كمساهمة في ثقافة التوعية المرورية بين السائقين الشباب بشكل عام وفي الوقاية من حوادث المرور بشكل خاص. تم توزيع استبيان على عينة عشوائية من السائقين الشباب، وأظهرت نتائج الدراسة أن الإعلام ساهم بشكل كبير في تعزيز الأمن بين السائقين الشباب بنسبة 65%، وأن استراتيجية الشفافية احتلت المرتبة الأولى بين الاستراتيجيات المعتمدة من قبل وكالات الأمن في التعامل مع الإعلام.

الكلمات المفتاحية: استراتيجية، الإعلام الأمني، التوعية المرورية، الوقاية من حوادث المرور، الأمن المعلوماتي.",1,0.0029411764705882353,0.004411764705882353,3.0,16.0,0.2852941176470589
