text,label,prediction
"في ظل التحديات التي تواجه المؤسسات الاقتصادية، أصبح من الضروري تحقيق التوازن بين تحسين الأداء الاقتصادي والحفاظ على البيئة. تعتبر نظم إدارة البيئة (EMS) حلاً فعّالاً لتحقيق هذا التوازن، حيث تساعد المؤسسات على تحسين أدائها الاقتصادي مع الالتزام بمسؤوليتها الاجتماعية. في الجزائر، يعتبر تطبيق نظم إدارة البيئة إلزامياً للمؤسسات التي تتعامل مع الأسواق الخارجية. يعتمد نجاح تطبيق هذه النظم على قدرات المؤسسة وطموح القيادة الإدارية فيها، بالإضافة إلى دور الدولة في دعم تطبيق هذه النظم.

تلعب الدولة دوراً محورياً في تعزيز تطبيق نظم إدارة البيئة في المؤسسات الاقتصادية الجزائرية. من خلال توفير الدعم اللازم، تساهم الدولة في تحسين أداء المؤسسات وتعزيز التزامها بالمسؤولية البيئية. يعتبر هذا الدعم أمراً بالغ الأهمية لضمان تطبيق فعال لنظم إدارة البيئة وتحقيق التوازن المنشود بين الأداء الاقتصادي والحفاظ على البيئة.

في المجمل، يعتبر دور الدولة في دعم تطبيق نظم إدارة البيئة أمراً حاسماً لتحسين أداء المؤسسات الاقتصادية الجزائرية وتعزيز التزامها بالمسؤولية البيئية. من خلال توفير الدعم اللازم، تساهم الدولة في تحقيق التوازن بين الأهداف الاقتصادية والبيئية وتعزيز استدامة المؤسسات على المدى الطويل.",1,1
"تهدف هذه الدراسة الوصفية التحليلية إلى استكشاف المعالجة السينمائية لصورة الزوجة الثانية في المجتمع الجزائري، مع التركيز على الشكل والمحتوى. من خلال استخدام المنهج الوصفي التحليلي، تم تحديد مجتمع البحث في السينما الجزائرية واختيار فيلم ""امرأتان"" للمخرج اعمر تريبش كنموذج للدراسة. توصلت الدراسة إلى عدة نتائج مهمة، منها أن الموضوعات الاجتماعية المرتبطة بالزوجة الثانية تشمل العلاقة مع الزوجة الأولى وأولادها والزوج، بالإضافة إلى غلبة الأدوار والقيم والسمات السلبية للزوجة الثانية. كما لوحظ طغيان اللهجة المحلية على المستوى اللغوي المستخدم من قبل الزوجة الثانية.",1,1
يتناول البحث عملية الإصلاح الانتخابي في الجزائر عقب التعديل الدستوري لسنة 2020، حيث يهدف إلى تحليل التغيرات المستجدة وتأثيرها على المشهد السياسي والديمقراطي في البلاد. يعتمد البحث على منهجية تحليلية نقدية، مستندة إلى دراسة الوثائق الدستورية والقانونية المحدثة، بالإضافة إلى مقابلات مع خبراء سياسيين وأكاديميين لمناقشة المراحل الانتقالية التي شهدتها الجزائر. يوضح البحث أن التعديلات الدستورية جاءت لدعم الشفافية الانتخابية وتعزيز المشاركة الشعبية من خلال إنشاء هيئات مختصة ومستقلة لمراقبة وتنظيم الانتخابات. النتائج المتوقعة تشير إلى تحسن ملحوظ في مستوى الثقة بين الناخبين والمؤسسات الحكومية، مما قد يؤدي إلى مشاركة انتخابية أوسع وإضفاء مزيد من الشرعية على الانتخابات. كما يحذر البحث من التحديات المحتملة مثل إعادة إنتاج النخب السياسية والحاجة إلى ضمان تنفيذ الإجراءات الإصلاحية بشكل كامل لتحقيق الأهداف المرجوة.,1,1
تدرس هذه الدراسة منهج الشيخ عبد الرحمن شيبان الزيتوني في تفسير القرآن الكريم من خلال دروسه المسجدية في العاصمة الجزائرية. تنقسم الدراسة إلى قسمين، حيث يغطي الأول حياة الشيخ شيبان وتعليمه وشيوخه ونشاطه الدعوي والإصلاحي وإرثه. يركز القسم الثاني على منهجه التفسيري، الذي تم استنتاجه من خلال تفريغ وتحقيق نماذج مسجلة من تفسيره المسجدي. تختتم الدراسة بملخص للنتائج والتوصيات.,1,1
"مصطلح ""ثقافة المعلومات"" يشكل تحديًا حيويًا للنظم التعليمية والمكتبية الحديثة، حيث يتطلب من هذه النظم تحديث برامجها والتكيف مع التطورات السريعة في العلوم والتقنية. انطلقت هذه الدراسة الميدانية بولاية أم البواقي لتقيس من منظور اختصاصيي المعلومات التحديات والفرص التي تفرضها التغيرات الراهنة على مهنتهم، والتي تتعرض لخطر الزوال في ظل سوق عمل متطلبة للمعلومات. تتطلب هذه السوق مهنيين يتمتعون بالوعي بقيمة المعلومات، ومعرفة واسعة بمصادرها وطرق الوصول إليها، وقدرة على تنسيق المعلومات وتحليلها واستخدامها بفعالية. تواجه المهنة المكتبية حاليًا تحولات جذرية، حيث أصبح دور المكتبيين يتحول من مجرد تنظيم الأوعية إلى تنظيم المعرفة وإنتاجها. في ظل هذه الحقبة التي شهدت فيها البيئة المعلوماتية تغييرات جذرية في المفاهيم والمصطلحات نتيجة الثورة المعلوماتية والتكنولوجيا الحديثة، تغيَّرت نظرة الأفراد إلى المعلومات وأسهمت في تشكل وعي جديد لدى العاملين في مجال المكتبات وأخصائيي المعلومات بأهمية تطوير كفاياتهم في ثقافة المعلومات على المستويات الأكاديمية والعملية. تهدف هذه الدراسة إلى تسليط الضوء على هذه التحولات وفهم أثرها على طبيعة العمل في المكتبات وأثرها على العاملين فيها، مركِّزة على العلاقة بين تطور ثقافة المعلومات والدور المحوري لاختصاصيي المعلومات في المجتمع المعاصر.",1,1
تهدف هذه الدراسة إلى استكشاف دور التسويق في خدمات النقل الحضري العام في المساهمة في تحقيق الجانب الاجتماعي للتنمية المستدامة. تسعى الدراسة إلى فهم مستوى وجودة الخدمات المقدمة في النقل الحضري العام في مدينة ورقلة، الجزائر، وكيف يمكن أن تساهم هذه الخدمات في التنمية المستدامة. تم تصميم استبيان وتوزيعه على عينة من 284 فرد، وتم تحليل البيانات باستخدام برنامج SPSS. وجدت الدراسة أن خدمات النقل الحضري العام تلعب دوراً هاماً في تحقيق الجانب الاجتماعي للتنمية المستدامة. كما أبرزت الدراسة أهمية التغطية الزمنية والمكانية من قبل وسائل النقل الحضري العام، حيث تعتبر هذه العوامل أساسية في ربط خدمات النقل الحضري العام والتنمية المستدامة. الكلمات المفتاحية: النقل، خدمات النقل الحضري، الجانب الاجتماعي، التنمية المستدامة.,1,1
تهدف هذه الدراسة إلى إبراز مفهوم الرقابة الشرعية من منظور الاقتصاد الإسلامي وأهميتها وخصائصها وانواعها ومستوياتها ودورها في حماية المال العام، وإضافة إلى ذلك دراسة وتحليل أسس الرقابة الشرعية، وكيفية استعمالها كنموذج تطبيقي للرقابة على المال العام في هذا الزمان. واستخدم الباحثان المنهج الوصفي التحليلي من خلال مراجعة وتحليل النصوص الشرعية ذات العلاقة بالرقابة الشرعية الواردة في الكتاب والسنة الشريفة والمراجع الفقهية. وفي الختام توصلت الدراسة جملة من النتائج أهمها قابلية تطبيق مبادئ الرقابة الشرعية على الرقابة على المال في الوقت الحاضر والمتمثلة في قاعدة قاعدة الأمر بالمعروف والنهي عن المنكر. واوصت الدراسة كذلك بتوصيات أهمها تفعيل دور الرقابة الشعبية من خلال أهل الحل والعقد ومجالس النواب حتى يتم حماية المال العام..,0,0
"تستكشف هذه الدراسة بنية الدائرة الفيلولوجية في قصيدة ""بنت الجزائر أهوى فيك طلعتها"" للشاعر الثائر مفدي زكريا، من خلال إعادة تعريف الآليات الأسلوبية المستخدمة في التحليل الفيلولوجي. تركز الدراسة على تطبيق منهج ليو سبيتزر، وهو أحد المناهج الشهيرة في المقاربات الأسلوبية، والذي يتميز بقدرته على تقديم تحليلات دقيقة وشاملة للنصوص الأدبية. إلا أن الدراسات السابقة، سواء الغربية أو العربية، لم تُقدِّم حتى الآن تصورًا متكاملاً حول كيفية تفعيل هذا المنهج في دراسة النصوص الشعرية العربية. من خلال اختيار قصيدة ""بنت الجزائر أهوى فيك طلعتها""، نهدف إلى رصد وتطبيق السياج الفيلولوجي لاكتشاف الرؤى الداخلية والخطاب الباطني للشاعر. تفتح الدراسة مجالاً لفهم أعمق وأشمل لروح المؤلف والنص المبدع، مستفيدة من الدلالات التاريخية والثقافية المتجذرة في بنية النص. بذلك تقدم الدراسة مساهمة جديدة في إثراء الدراسات الأسلوبية العصرية، مع تسليط الضوء على جماليات الشعر العربي من منظور فيلولوجي حيوي، مما يعزز من فهمنا للتشابكات اللفظية والأسلوبية المعقدة التي تميز أعمال زكريا.",1,1
في محاولة لتعزيز الهيئات المحلية في صنع القرار وصياغة السياسات للتنمية المحلية، اعتمدت الجزائر الديمقراطية التشاركية. هذه النهج المعاصر، كبديل للديمقراطية التمثيلية، يتضمن مشاركة المواطنين في صياغة السياسات العقلانية واتخاذ القرارات التي تأخذ في الاعتبار الموارد المتاحة. من خلال إشراك المواطنين المحليين، تهدف هذه العملية إلى تعزيز التنمية التي تتماشى مع تطلعات المجتمع. الكلمات الدالة: الديمقراطية التشاركية، التنمية المحلية، الحكم الرشيد، المساءلة، الشفافية.,1,1
تتناول هذه الدراسة دور الزكاة كأداة من أدوات السياسة المالية وتأثيرها على مؤشرات النشاط الاقتصادي في كل من الجزائر وماليزيا. تسعى الدراسة إلى تقديم مقاربة تحليلية وقياسية لفهم أثر الزكاة على الاستهلاك، الاستثمار، التضخم، والركود الاقتصادي. تعتمد الدراسة على مبادئ الاقتصاد الإسلامي وتستند إلى الزكاة كمورد رئيسي للدولة الإسلامية. تهدف الدراسة إلى إبراز أهمية الزكاة في تعزيز الطلب الكلي، محاربة الاكتناز، وإعادة توزيع الدخل والثروة بشكل عادل. من خلال تحليل التجارب الجزائرية والماليزية، تسعى الدراسة إلى تقديم توصيات لتحسين تطبيق الزكاة كأداة فعالة للسياسة المالية وتحقيق التنمية الاقتصادية المستدامة.,1,1
"حب هذه القصيدة:""ميمية في الدعاء والابتهال""، هو الشيخ العالم الفقيه محمد بن أحمد بن محمد بن أحمد بن محمد بن محمد بن أبي بكر بن محمد بن مرزوق أبو عبد الله العجيسي التلمساني المالكي. ويعرف بحفيد ابن مرزوق وقد يختصر بابن مرزوق. ولد في الثالث عشر ربيع الأول سنة ست وستين وسبعمائة (766هـ) الموافق 10 ديسمبر (1364م). واشتغل ببلاده، وتلا لنافع على عثمان بن رضوان بن عبد العزيز الصالحي الوزروالي وانتفع به في القراءات والعربية وبجده وابن عرفه في الفقه وغيره؛ وأجاز له أبو القسم محمد بن محمد بن الخشاب، ومحدث الأندلس محمد بن علي بن محمد الأنصاري الحفار ومحمد بن محمد بن علي بن عمر الكناني القيجاطي وعبد الله بن عمر الوانغلي وآخرون..",0,0
يهدف هذا البحث إلى دراسة التحديات التي تواجه اللغة العربية في عصر الرقمنة وتحليل العوائق التي تحول دون رقمنتها ومواكبتها للتطور التكنولوجي. توصلت الدراسة إلى عدة نتائج مهمة، منها أن اللغة العربية تواجه معوقات متعددة تعيق قدرتها على المشاركة بفعالية في العصر الرقمي. على الرغم من امتلاكها قدرات وخصوصيات مميزة، إلا أنها تحتاج إلى تطوير الأدوات المعلوماتية وتعزيز القدرات المتعلقة بالمحتوى والتسويق والبرمجيات. يتطلب ذلك توحيد الجهود وتسريع الإنجاز لضمان قدرة اللغة على مواكبة التطورات التكنولوجية.,1,1
"في مجال البلاغة، تلعب مسائل العدول دوراً محورياً نظراً لأهمية إخراج الكلام بما يخالف الظاهر وتأثيره على فهم الدقائق والتفاصيل المتعلقة بأحوال الكلام وملابسات الحال. لا يكتسب العدول قيمته إلا عندما يتوافق مع مقتضى الحال، مما يجعله محوراً للتفوق البلاغي والتميز. يؤكد عبد القاهر الجرجاني على هذه الفكرة بقوله: ""وكلُّ ما كان فيه، على الجملةِ، مَجازٌ واتساعٌ وعُدُولٌ باللفظ عن الظاهر، فما مِنْ ضَرْبٍ من هذه الضُّروب إلاَّ وهو إِذا وقَعَ على الصواب وعلى ما يَنْبغي، أوْجَبَ الفضْلَ والمزيَّةَ""(2). بالمقابل، إذا تم العدول بالكلام عن مقتضى الظاهر دون وجود مناسبة مناسبة، فإن ذلك يعتبر خروجاً عن حدود البلاغة وفقاً لما يراه العباسي: ""العدولُ عن مقتضى الظاهر من غير نكتةٍ تقتضيهِ خروجٌ عن تطبيق الكلام لمقتضى الحال""(3).",1,1
