text,label,prediction
"يتناول هذا البحث تقييم فعالية البرامج التنموية في تنويع الاقتصاد الجزائري بعيداً عن قطاع المحروقات. يستند البحث إلى النظرية الكينزية التي تشير إلى أن زيادة الإنفاق العام تؤدي إلى زيادة الناتج المحلي الإجمالي. يتم التركيز على برامج دعم الإنعاش الاقتصادي والبرنامج التكميلي لدعم النمو والبرنامج الخماسي خلال الفترة من 2001 إلى 2015. على الرغم من تخصيص الجزائر لمبالغ مالية كبيرة لهذه البرامج، إلا أن النتائج المحققة وفعالية هذه النفقات تواجه تحديات بسبب تقلبات أسعار النفط وتأثيرها على النفقات العمومية والاستثمارات والمشاريع قيد الإنجاز. هذا يدفع إلى التفكير في تغيير السياسات المتبعة وضرورة تنويع الاقتصاد الجزائري والشروع في إصلاحات عميقة باستخدام أدوات السياسة المالية مثل زيادة الضرائب والرسوم وتخفيض بعض التحويلات الاجتماعية وتقليل الإنفاق الحكومي وتوجيهه نحو الاستثمارات المنتجة.

الكلمات المفتاحية: السياسة المالية، التنويع الاقتصادي، النمو الاقتصادي.
رموز JEL: A1, D9",1,1
تهدف الدراسة إلى تفسير الموقف الفلسطيني من السياسات التركية تجاه القضية الفلسطينية من خلال تحليل السياسات الخارجية لتركيا وتأثيرها على القضية الفلسطينية. اعتمدت الدراسة منهجية دراسة الحالة باستخدام آليتين رئيسيتين: مراجعة الأدبيات والمواقف البحثية حول الموضوع، بالإضافة إلى إجراء مقابلات مع عينة قصدية شملت خمسة عشر شخصية فلسطينية. تشير النتائج إلى أن التقييم الإيجابي للفلسطينيين لسياسات تركيا يعود إلى توازن تركيا في التعامل مع مختلف الأطراف في القضية الفلسطينية، واعتبارهم تركيا كنموذج تنموي قادر على مواجهة السياسات الإسرائيلية، خصوصاً فيما يتعلق بحصار غزة. في المقابل، تتضمن العوامل السلبية تدخل تركيا في الشؤون الداخلية العربية، خاصة في سوريا، والتوتر في علاقاتها مع القوى العربية المحورية. تبرز الدراسة أهمية فهم الديناميات السياسية الخارجية التركية وتأثيرها على التوازنات الإقليمية فيما يتعلق بالصراع الفلسطيني-الإسرائيلي.,1,1
تناولت هذه الدراسة موضوع تسيير النفايات في إطار حماية المستهلك، حيث أولى المشرع الجزائري أهمية كبيرة لحماية البيئة من التلوث. تم إصدار العديد من القوانين والمراسيم المتعلقة بحماية البيئة وتسيير النفايات، والتي نظمت المسؤولية القانونية للمنتج النفايات من الناحية المدنية والجزائية والجباية. يهدف البحث إلى تحديد الأهداف والمفاهيم المتعلقة بتسيير النفايات، وتحديد التزامات منتج النفايات. يبرز البحث أن النفايات لها تأثيرات سلبية على البيئة، ولكنها يمكن أن تكون لها تأثيرات إيجابية من الناحية الاقتصادية عند حسن تسييرها. يخلص البحث إلى أن تسيير النفايات في إطار حماية المستهلك يتطلب تطبيق قواعد تسيير النفايات لحماية المستهلك، وتحديد مدى اعتبار النفايات منتجات.,1,1
تهدف هذه الدراسة الى محاولة دراسة وتحليل تأثير الصحافة الرياضية المتخصصة في نوعية العلاقة بين المدرب واللاعبين من الناحية النفسية، و معرفة تأثير هذه العلاقات النفسية في تحسين مردود الرياضي، والى إبراز الدور النفسي الذي يلعبه المدرب و تأثيره على لاعبي كرة القدم وللمعرفة ذلك اعتمدنا المنهج الوصفي التحليلي واداة البحث المتمثلة في الاستبيان والذي هو مجموعة من الأسئلة الموجهة للمدرب واللاعبين حيث اخترنا 60 لاعب بطريقة قصدية من اربع اندية رياضية على مستوى ولاية المسيلة وقد توصلنا الى نتيجة مفادها عدم اعتماد الصحافة الرياضية المتخصصة علي الحياد و الموضوعية في نقل المواضيع الاعلامية و عدم اهلية الصحفي الرياضي المتخصص في كتابة المواضيع الاعلامية مما يؤثر على العلاقة بين اللاعبين و المدرب بشكل كبير اذ ان الصحافة الرياضية الجزائرية المتخصصة تؤثر بدرجة كبيرة علي المدربين من خلال تحميلهم النتائج المتحصل عليها و انها تمارس ضغوطات علي اللاعبين اثناء عدم تحقيق نتائج ايجابية.,0,0
تسعى هذه الورقة البحثية إلى دراسة إشكالات الطلاق في التشريع الجزائري، بالتركيز على التفاعل بين النصوص الموضوعية والقواعد الإجرائية وأحكام الشريعة الإسلامية. تستخدم هذه الدراسة المنهج التحليلي المقارن لتحليل القوانين والتشريعات الجزائرية المتعلقة بالطلاق، ومقارنتها بأحكام الشريعة الإسلامية. تهدف الدراسة إلى الكشف عن الإشكالات والتحديات التي تواجه تطبيق هذه القوانين، وتحديد أسباب هذه الإشكالات. من المتوقع أن تظهر الدراسة أن هناك تبايناً بين النصوص الموضوعية والقواعد الإجرائية في التشريع الجزائري، وأن أحكام الشريعة الإسلامية تلعب دوراً مهماً في توجيه تطبيق هذه القوانين. كما من المتوقع أن تبرز الدراسة أهمية إجراء تعديلات تشريعية لتحسين تطبيق قوانين الطلاق في الجزائر.,1,1
تشكل كتب المناقب من بين المصادر المهمة في الغرب الإسلامي، فمن خلالها يمكن التعرف على واقع الحركة العلمية التي كانت سائدة في الغرب الإسلامي عموما، والمغرب الأوسط خصوصا، وقد ارتبط أدب المناقب بالتيار الصوفي حيث هناك علاقة وطيدة بين المناقب والولاية التي تعد بنية أساسية في التصوف، ومن بين الشخصيات المؤثرة في تاريخ المغرب الأوسط الإمام الهواري ت844ه التي ارتبطت سيرته بتاريخ وهران وكأنها لم تنجب إلاّ هذا الإمام، وقد تعددت المصادر التي ترجمت له وتنوعت اتجاهاتها منها المصادر التاريخية الحولية ومنها كتب التراجم، وهناك مصادر أخرى ذات قيمة كبيرة هي أدب المناقب الذي تدور مادته تاريخية في مجملها حول الولي والكرامة، ويعد ابن ابن صعد التلمساني ت 901هــ في كتابه النجم الثاقب فيما للأولياء لله من مفاخر المناقب من المصادر المهمة التي لهذه الشخصية المحورية في تاريخ وهران..,0,0
التراث غير المادي، الذي يشمل الشعر الشعبي (الملحون)، هو جزء لا يتجزأ من النشاط البشري والإنتاج التاريخي. الشعر الملحون، الذي يعد جزءًا من التراث الثقافي غير المادي لمنطقة الأغواط، يعكس بصدق الظروف المجتمعية والوطنية في فترات مختلفة. تعتبر أشعار بن حرزالله بن الجنيدي، الذي عاش في القرن التاسع عشر، شهادة على حالة مجتمع شمال الصحراء تحت الحكم الاستعماري الفرنسي.,1,1
إن حاضنات الأعمال هي مؤسسات قائمة بذاتها، لها كيان قانوني تعمل على توفير جملة من الخدمات والتسهيلات للمستثمرين الصغار الذين يبادرون إلى إقامة مؤسسات صغيرة، وتهدف إلى مساعدة المؤسسات المبدعة الناشئة ورجال الأعمال الجدد، وتوفير الوسائل والدعم اللازمين من خبرات، أماكن، والدعم المالي لتخطي أعباء ومراحل الانطلاق والتأسيس التي قد تدوم السنة أو السنتين، كما تقوم بعمليات التسويق ونشر المنتجات لهذه المؤسسات. وتساهم حاضنات الأعمال في دعم الابتكار بالمؤسسات الناشئة من خلال احتضان المشاريع بين مرحلة بدء النشاط ومرحلة النمو لمنشات الأعمال، ودعم المقاولين الجدد ومساعدتهم على إطلاق مشروعات ناشئة، كما تعمل على تزويد المقاولين بالأدوات اللازمة لنجاح المشروع. كما تسعى حاضنات الأعمال لتوفير مجموعة شاملة من الخدمات للمساعدة على إطلاق مشاريع جديدة كخدمات التمويل، بناء علامة تجارية، القيام بعمليات تسهيلات وخدمات لامتناهية بشروط مرنة وأسعار معقولة.,0,0
"في رواية ""هايدجر في المشفى"" لمحمد بن جبار، يتم استكشاف موضوع الذات بين الحضور والغياب. يتم تصوير الذات البشرية وهي تكافح مع قضاياها الوجودية، والتهميش الثقافي، والوعي السياسي. كما يتم تسليط الضوء على مشاكلها العاطفية واهتماماتها الأدبية. تصبح الكتابة وسيلة للذات للتعبير عن نفسها وللتنفيس عن مشاعرها. ومع ذلك، تصبح الكتابة أيضا سببا للعقاب، مما يؤدي إلى تهميش الذات من جميع الجوانب. للتغلب على هذا، تتجه الذات نحو الاتحاد مع الآخر. الكلمات الرئيسية في هذا الملخص تشمل الذات، الوطن، الانتماء، هايدجر، المشفى، الكآبة، والكتابة.",1,1
الاستراتيجية الحجاجية لبلاغة الصمت في القرآن الكريم تتجلى عبر تحليل أسلوب الحذف الذي يعكس شجاعة الأسلوب القرآني المتميزة في تجاوزه للمعايير الأدبية التقليدية في اللغة العربية. يدرس هذا البحث العلاقة بين الحذف كظاهرة بلاغية وأساليب النقد الأدبي، مستعرضًا كيفية توظيف الصمت البلاغي في النص القرآني لإثراء الجوانب الجمالية والبيانية. يبدأ البحث باستكشاف مدى شجاعة الأسلوب القرآني في التلاعب بالمعاني والصور الذهنية عبر الحذف، مع ربط النتائج بالحقول المعرفية المختلفة مثل الإعجاز والنحو والبيان. يتعمق في تجاذبات القوى المعرفية حول الحذف، مشيرًا إلى تساؤلاته النقدية المهمة التي تحتل أهمية كبرى في حقل النقد الأدبي المعاصر. من خلال التحليل الدقيق للنصوص القرآنية، يُظهر البحث كيف يُمكن للحذف أن يشكل قناة للتواصل الفعلي بين النص القرآني والاتجاهات النقدية الحديثة، مما يعزز الفهم النظري والتطبيقي للقراءة الأدبية المُعمَّقة. لذا، تبرز هذه الدراسة دور الحذف كوسيلة بلاغية تحافظ على التكامل بين الشعور الجمالي والعمق المعرفي في النصوص، ملقيةً الضوء على إمكانيات استخدام بلاغة الصمت كأداة فاعلة في النقد الأدبي والتحليل اللغوي. ويوضح البحث كيف أن هذه الاستراتيجية الحجاجية تستطيع أن تسهم بشكل إيجابي في تطوير الأدوات النقدية المعاصرة عبر إغناء الدراسات الأدبية واللغوية بتجارب تحليلية تمزج بين الأصالة والتجديد.,1,1
