text,label,prediction
ثّل الذهب الوارد من منطقة السودان الغربي الرئة لاقتصادية لدول شمال أفريقيا وغرب البحر المتوسط في العصر الإسلامي فثراء هذه الدول وقوة وضعف عملاتها الذهبية ظل مرتبطًا بالذهب السوداني الذي تجاوزت تدعياته الاقتصادية إلى مستوى العلاقات السياسية بين هذه الدول، ورغم هذه الأهمية الكبيرة للذهب السوداني إلا أن كيفية الحصول عليه ظلت لغزا غامضا طوال قرون واتسمت بطابع أسطوري تناقلته المصادر العربية وارتضته المراجع الحديثة.ومن هنا وجد الباحث نفسه مدفوعا للنظر في هذه الروايات المختلفة، سعيًا لمحاولة الوصول لصورة واضحة عن حقيقة التجارة الصامتة وتفنيد أسس قيامها، ومدى اتساقها مع المعطيات الاقتصادية والاجتماعية والسياسية لمنطقة السودان الغربي..,0,0
دفع الإحساس بأهمية المحافظة على البيئة ،بالمجتمعات بصفة عامة وبجيران المنشآت الصناعية بصفة خاصة، إلى مطالبة الدولة بالتدخل بوسائلها المختلفة بما فيها البوليس الإداري، وذلك من أجل حثهم على احترام الشروط والضوابط القانونية المنظمة لتلك الأنشطة، حماية للبيئة وللجيران وغيرها من المصالح المحمية قانونا، وهي الوسائل التي تستعمل فيها الإدارة أدوات قانونية محددة مسبقا ومخولة لها قانونا، كما هو الشأن بالنسبة لنظامي الترخيص و التصريح الإداري، وهي وسائل رقابية يكمن الهدف منها في وضع حد للأنشطة الملوثة، والتي تصل حد غلق المنشأة وإلغاء الترخيص نهائيا، في حال عدم إذعان مستغل المنشأة المصنفة وحرمانه كليا من إعادة تشغيلها مستقبلا، وبالتالي تظهر أهمية الترخيص تحديدا، من حيث كونه أحد أهم الوسائل التقنية للرقابة على مشروعية الأنشطة، من أجل تقدير أكبر قدر من الحماية للبيئة وللأفراد وللطبيعة وغيرها من المصالح المحمية قانونا.,0,0
الإطار المفاهيمي للجريمة المعلوماتية يُعد من المواضيع الحيوية في العصر الرقمي، حيث تهدف هذه الورقة البحثية إلى بناء نموذج مفاهيمي شامل لفهم طبيعة الجرائم المعلوماتية وأنماطها المتنوعة. تعتمد الورقة على تحليل نقدي للدراسات السابقة والنظريات المعتبرة في هذا المجال، بجانب دراسة الحالات العملية للاعتداءات السيبرانية وكيفية تنفيذها. تم استخدام منهجية تحليل البيانات النوعية لجمع المعلومات من المصادر المتنوعة، مثل المقالات والأبحاث المتخصصة، لتحليل الأنماط السلوكية والاقتصادية والنفسية للمجرمين المعلوماتيين. ، ويتوقع من هذه الورقة أن تساهم في التوصل إلى فهم أعمق للطبيعة الديناميكية للجريمة المعلوماتية وتقديم تصورات جديدة للإجراءات الأمنية اللازمة لمكافحة هذا التهديد المتزايد. تعد النتائج المتوقعة ذات أهمية بالغة للباحثين والمهتمين بمجال الأمان السيبراني وصناع القرار على حد سواء، حيث تُسهم في تطوير استراتيجيات فعالة للحماية وتعزيز البنية التحتية للأمن الرقمي.,1,1
تناول البحث مساهمة الجماعات المحلية في تعزيز الاستثمار المحلي في الجزائر، مبرزاً العراقيل التي تواجهها والحلول الممكنة. تعتمد الجماعات المحلية بوصفها وحدات إدارية مصغرة على إطار قانوني يهدف إلى تحقيق التنمية المحلية المستدامة، مما يساهم في تخفيف العبء على الميزانية العامة للدولة من خلال الإدارة الذاتية المالية والإدارية. تتطلب هذه التنمية المحلية تمويلاً ذاتياً كبيراً يمكنها من تحقيق الأهداف الاقتصادية الشاملة. إلا أن الجماعات المحلية تواجه صعوبات وعراقيل، أبرزها العجز المالي وضعف كفاءة الأداء البشري، ما يعوق تحقيق الأهداف المرجوة من التنمية. يقترح البحث حلولاً لتجاوز هذه العقبات، مما يستدعي تعزيز القدرات المالية والبشرية للجماعات المحلية، وتطوير البنية التحتية القانونية والإدارية الداعمة للاستثمار، لضمان تحقيق التنمية الاقتصادية بشكل متكامل ومستدام.,1,1
تناولت هذه الدراسة واحدة من القضايا المعاصرة المهمة والمتجددة، ألا وهي حرية التعبير ضمن سياق العمل الإعلامي، مركزةً على تأصيل البُعد التربوي والأخلاقي في هذا المجال. تهدف الدراسة إلى استعراض وتحليل القواعد والمقدمات الأخلاقية اللازمة لممارسة حرية التعبير في الإعلام بشكل متحضر ومسؤول. استند الباحثان إلى مقاربة منهجية تأملية تضمنت طرح عدد من التساؤلات الجوهرية التي ترسم إطارًا شاملاً لهذه الدراسة، بدءًا بتحديد مفهوم الحرية بجوانبه اللغوية والقانونية والاجتماعية، مرورًا بفهم خصوصيات حرية التعبير، ووصولاً إلى تحديد مجموعة القواعد الأخلاقية التي ينبغي مراعاتها في الممارسات الإعلامية. كما تتطرق الدراسة إلى الضوابط الشرعية المرتبطة بالتعبير عن الرأي عبر المنابر الإعلامية، مسلطة الضوء على الدور الذي يمكن أن يلعبه الإعلام في توجيه الرأي العام وتشكيل الوعي المجتمعي بصورة إيجابية تتماشى مع الأخلاقيات الإعلامية والشرعية. توفر هذه الدراسة إطارًا أكاديمياً يمكن أن يُفيد الباحثين والإعلاميين وأصحاب القرار في السعي للارتقاء بالعمل الإعلامي، من خلال التأكيد على أهمية الموازنة بين ممارسة حرية التعبير من جهة، والالتزام بالضوابط الأخلاقية والشرعية من جهة أخرى، من أجل المحافظة على القيم الإنسانية والاجتماعية.,1,0
يُعد أدب الرحلة مصدرا غنيا بالمعلومات والمعارف التي ساهمت في تطوير مختلف العلوم، بما في ذلك التاريخ. من خلال تسجيلات الرحالة، تمكنا من الحصول على حقائق قيمة حول الطرق، المدن، والمعالم الأثرية. كما وفرت لنا الرحلات وصفا مفصلا لأسلوب الحياة والتقاليد والعادات والقيم والأدوات والفنون، مما شكل أساس علم الأثنوجرافيا. يهتم هذا العلم بدراسة المجموعات البشرية عبر العصور، في حين تركز الأثنولوجيا على تحليل المادة الأثنوجرافية. يهدف هذا البحث إلى استكشاف أنواع الرحلات وتحديد أهميتها كمصدر تاريخي، خاصة في الوقت الحالي. كما يسلط الضوء على العلاقة بين الرحلة وعلم الأثنوجرافيا، موضحا كيف تسهم الرحلات في تعزيز فهمنا للمجموعات البشرية وتنوع الثقافات. من خلال هذا البحث، نهدف إلى تعزيز الفهم العميق للرحلة كأداة لاكتشاف الثقافات البشرية وتسجيلها.,1,1
تعتبر الايرادات الريعية لقطاع المحروقات المصدر الأول لتمويل التنمية في الجزائر، إذ يساهم بنسبة كبيرة في تكوين الناتج المحلي الخام وتمويل الموازنة العامة، من جهة أخرى يشكل المصدر الوحيد تقريبا في إيرادات العملة الصعبة، هذا الاعتماد الكبير على قطاع المحروقات جعل الاقتصاد الجزائري عرضة للصدمات المتأتية من تذبذبات الأسعار في الاسواق العالمية، والمتلازمة التي يتميز بها الاقتصاد الجزائري هي الآثار السلبية لصدمات أسعار النفط سواء عند انخفاضها بتطبيق سياسة تقشفية مستعجلة غير مخطط لها تتمثل في توقيف المشاريع الكبرى نتيجة توقف التمويل، أو عند إرتفاع الأسعار بحيث ترتفع المداخيل الحقيقية لدى الأفراد التي توجه إلى القطاع غير التبادلي والإنفاق الاستهلاكي، وبما أن الإقتصاد الجزائري إقتصاد ريعي غير منتج فهذا سيؤدي إلى ارتفاع الواردات لتلبية الطلب الداخلي المتزايد نتيجة الصدمة البترولية الموجبة وذلك على حساب القطاع التبادلي (الفلاحة والصناعة)، مما يؤدي إلى إنحلال تدريجي له، وهذا ما يؤدي إلى تخلف تنموي، وهنا نكون أمام حالة من التناقض وفرة في الموارد وتخلف تنموي تعرف بظاهرة المرض الهولندي.الكلمات المفتاحية: المرض الهولندي، الصدمة الإقتصادية البترولية، تذبذبات أسعار النفط.,0,0
يُقدم هذا البحث دراسة تحليلية شاملة للضرائب غير الشرعية في دولتي المرابطين والموحدين، وتأثيرها على العلاقة بين الحاكم والرعية خلال العصور الوسطى. يعتمد البحث على منهجية تاريخية مقارنة، حيث يتم فحص وتحليل مجموعة من المصادر التاريخية الأولية والثانوية لاستكشاف طبيعة وأسباب هذه الضرائب غير الشرعية. يُظهر البحث أن فرض الضرائب غير الشرعية كان له تأثير سلبي كبير على العلاقة بين الحاكم والرعية، حيث أدى إلى زيادة الاستياء والتمرد بين السكان. يُبرز البحث أيضاً كيف أن هذه الضرائب ساهمت في تدهور الوضع الاقتصادي والاجتماعي في الدولتين، مما أدى إلى تفاقم الأزمات الداخلية والخارجية. يُ 제공 البحث رؤية أعمق حول العوامل التي ساهمت في تدهور العلاقة بين الحاكم والرعية في تلك الفترة، مما يفتح آفاقاً جديدة لفهم التاريخ السياسي والاقتصادي للدولتين.,1,1
تهدف هذه الدراسة إلى استكشاف دور الخطاب المسجدي في إرساء أبعاد التنمية المستدامة بين عينة من المصلين في ولاية تبسة. تعتمد الدراسة على منهج استطلاعي لجمع البيانات وتحليلها. من المتوقع أن تسلط النتائج الضوء على مدى تأثير الخطاب الديني في تعزيز الوعي حول التنمية المستدامة وتوجيه المصلين نحو تبني ممارسات مستدامة في حياتهم اليومية. تساهم هذه الدراسة في فهم أفضل لدور المؤسسات الدينية في تعزيز التنمية المستدامة وتوفير أساس للبحوث المستقبلية في هذا المجال.,1,1
تهدف هذه الدراسة إلى استكشاف دور الخدمات الوقفية في بلاد الشام خلال العهد المملوكي (648ـ - 923هـ/1250ـ - 1517م)، مع التركيز على الخدمات الاجتماعية كنموذج. تسلط الدراسة الضوء على الدور المحوري الذي لعبته الخدمات الوقفية، خاصة عندما توسعت لتشمل مجموعة متنوعة من الخدمات الاجتماعية مثل رعاية الفقراء والأيتام والأرامل، وإقامة دور الضيافة، وتزويج العزاب، والعناية بالمسجونين، وتوفير مياه الشرب، وتعبيد الطرق، ودعم طلبة العلم، وغيرها من الخدمات. أظهرت نتائج الدراسة أن الخدمات الوقفية في بلاد الشام أثرت بشكل كبير على مختلف جوانب الحياة الاجتماعية، وشملت شرائح متنوعة من المجتمع. كما كان للجانب الديني دور متميز في تعزيز نشاط هذه الخدمات من خلال تعاليم الإسلام الإنسانية ودعوته للتكافل الاجتماعي بين أفراد المجتمع.,1,1
