,label,f3_digits_ratio,f24_punct_div,f45_adj_count,f66_genitive_count,f87_gini
0,0,0.0,0.005610098176718092,7.0,11.0,0.14915966386554613
1,0,0.0,0.002421307506053269,13.0,15.0,0.19961288711288705
2,0,0.009015777610818933,0.004507888805409466,17.0,22.0,0.2107496463932106
3,0,0.0,0.0029542097488921715,3.0,14.0,0.18771929824561417
4,0,0.02283653846153846,0.004807692307692308,9.0,12.0,0.12010630023334201
5,0,0.0,0.002936857562408223,7.0,7.0,0.09963527851458887
6,0,0.0,0.002574002574002574,5.0,14.0,0.07252252252252256
7,0,0.006611570247933884,0.003305785123966942,12.0,9.0,0.147737625265715
8,0,0.007215007215007215,0.005772005772005772,2.0,13.0,0.14210526315789473
9,0,0.04024144869215292,0.01006036217303823,5.0,3.0,0.12693025623621246
10,0,0.0,0.00291970802919708,2.0,4.0,0.09125893347993408
11,0,0.007568590350047304,0.005676442762535478,13.0,12.0,0.17442833240379252
12,0,0.0050062578222778474,0.0025031289111389237,7.0,11.0,0.11115016872890893
13,0,0.0,0.005042016806722689,7.0,15.0,0.21819526627218933
14,0,0.0,0.002570694087403599,4.0,15.0,0.20095294818344267
15,0,0.0,0.003316749585406302,6.0,14.0,0.18710801393728227
16,0,0.0,0.0035971223021582736,11.0,6.0,0.1208133971291867
17,0,0.014652014652014652,0.005494505494505495,3.0,7.0,0.08404452690166986
18,0,0.0,0.004069175991861648,11.0,12.0,0.1297655172413794
19,0,0.004451038575667656,0.004451038575667656,11.0,12.0,0.1100000000000001
20,0,0.0,0.00245398773006135,10.0,17.0,0.22488931931377976
21,0,0.0,0.004225352112676056,3.0,13.0,0.18864824495892463
22,0,0.0,0.0053285968028419185,6.0,12.0,0.12279202279202295
23,0,0.0,0.004048582995951417,8.0,12.0,0.15922739814965103
24,0,0.005270092226613966,0.002635046113306983,5.0,10.0,0.08198380566801622
25,0,0.0,0.0035046728971962616,4.0,13.0,0.14848270995059987
26,0,0.0049504950495049506,0.0018564356435643563,6.0,32.0,0.18583237216455206
27,0,0.008995502248875561,0.0029985007496251873,4.0,14.0,0.13872180451127814
28,0,0.005235602094240838,0.002617801047120419,10.0,17.0,0.24332420403971233
29,0,0.007692307692307693,0.003076923076923077,5.0,10.0,0.17325000000000013
30,0,0.0,0.0035252643948296123,9.0,16.0,0.17550080875948737
31,0,0.0,0.0029498525073746312,8.0,10.0,0.07659007659007666
32,0,0.018300653594771243,0.00784313725490196,9.0,7.0,0.1451771369126742
33,0,0.0,0.002635046113306983,11.0,16.0,0.14315383474262
34,0,0.0,0.003587443946188341,9.0,16.0,0.164215095249578
35,0,0.014953271028037384,0.003738317757009346,8.0,9.0,0.12463039621525729
36,0,0.0,0.003003003003003003,5.0,10.0,0.1515051997810617
37,0,0.0033500837520938024,0.0033500837520938024,0.0,9.0,0.12674323215750616
38,0,0.0,0.0038314176245210726,11.0,16.0,0.17941093174738043
39,0,0.0,0.002857142857142857,11.0,13.0,0.13293543136191
40,0,0.0,0.0031201248049922,3.0,9.0,0.08598945196055952
41,0,0.0,0.006259780907668232,7.0,6.0,0.10924463232840131
42,0,0.0,0.004431314623338257,8.0,20.0,0.17585692995529056
43,0,0.012779552715654952,0.004259850905218318,9.0,9.0,0.15986517394968103
44,0,0.0,0.003629764065335753,6.0,6.0,0.1434895833333334
45,0,0.0,0.0041928721174004195,5.0,11.0,0.09369186538136298
46,0,0.0,0.0054869684499314125,8.0,9.0,0.06934046345811051
47,0,0.0,0.0024813895781637717,10.0,17.0,0.2116096866096866
48,0,0.0,0.003305785123966942,6.0,10.0,0.14229349624538612
49,0,0.022267206477732792,0.006072874493927126,2.0,8.0,0.11858807163971474
50,0,0.0,0.002288329519450801,1.0,14.0,0.1914242878560719
51,0,0.01878612716763006,0.002890173410404624,5.0,8.0,0.13920454545454541
52,0,0.013769363166953529,0.0034423407917383822,2.0,9.0,0.19821305841924386
53,0,0.005253940455341506,0.0070052539404553416,3.0,10.0,0.08971848225214196
54,0,0.01157613535173642,0.003561887800534283,9.0,23.0,0.1844046749452155
55,0,0.0,0.0034602076124567475,8.0,8.0,0.16568742655699165
56,0,0.015037593984962405,0.002506265664160401,10.0,14.0,0.2436868686868685
57,0,0.0,0.002859866539561487,7.0,14.0,0.13369004842993282
58,0,0.0,0.003931847968545216,0.0,7.0,0.15776659633176426
59,0,0.032388663967611336,0.010121457489878543,3.0,4.0,0.060425685425685494
60,0,0.0,0.004524886877828055,6.0,5.0,0.09870646766169155
61,0,0.0,0.005333333333333333,5.0,10.0,0.16822284469343307
62,0,0.0,0.0030165912518853697,4.0,11.0,0.16609458428680401
63,0,0.0,0.0045662100456621,3.0,13.0,0.24135338345864676
64,0,0.0,0.003937007874015748,4.0,9.0,0.13970588235294112
65,0,0.025236593059936908,0.006309148264984227,7.0,10.0,0.1517857142857142
66,0,0.0,0.0030864197530864196,5.0,13.0,0.1064814814814814
67,0,0.0,0.0027739251040221915,5.0,13.0,0.11473684210526325
68,0,0.0,0.0030721966205837174,3.0,10.0,0.1546544831524843
69,0,0.0,0.00641025641025641,5.0,11.0,0.15344551282051277
70,0,0.0,0.00482315112540193,7.0,7.0,0.10713349068974565
71,0,0.0,0.0033613445378151263,3.0,11.0,0.13464165942118989
72,0,0.0,0.004398826979472141,10.0,6.0,0.12203035060177925
73,0,0.004484304932735426,0.002242152466367713,8.0,18.0,0.15000503372596397
74,0,0.0,0.0027662517289073307,14.0,8.0,0.07767857142857126
75,0,0.0,0.0034071550255536627,5.0,11.0,0.08798031865042155
76,0,0.0,0.004081632653061225,4.0,6.0,0.16086587436332778
77,0,0.0,0.0065040650406504065,11.0,5.0,0.08346883468834698
78,0,0.0,0.010706638115631691,3.0,5.0,0.11194029850746268
79,0,0.0,0.002770083102493075,3.0,8.0,0.07879114948731791
80,0,0.0,0.006195786864931847,7.0,14.0,0.23676397822859974
81,0,0.014022787028921999,0.0017528483786152498,8.0,21.0,0.2258765358106083
82,0,0.0,0.003875968992248062,3.0,9.0,0.2084639498432601
83,0,0.004381161007667032,0.002190580503833516,14.0,11.0,0.0966417910447761
84,0,0.0,0.0024271844660194173,9.0,11.0,0.13662826706304965
85,0,0.0,0.0049586776859504135,8.0,12.0,0.1879950495049505
